accident_index,accident_y,speed_limit,vehicle_type,date,day_of_week,accident_severity,road_type,longitude,latitude,number_of_vehicles,time,geometry
2019010159179,2019,30,1,22/01/2019,3,3,6,-0.00243,51.469154,2,17:30:00.000,POINT (538844.8098900835 176357.0997629709)
2019010159215,2019,30,1,23/01/2019,4,3,6,-0.096026,51.504965,2,22:00:00.000,POINT (532240.7504966272 180166.1980654422)
2019010159219,2019,40,1,18/01/2019,6,2,3,-0.281932,51.468322,1,18:10:00.000,POINT (519434.5975039916 175772.0776968779)
2019010159226,2019,20,1,23/01/2019,4,3,6,-0.086891,51.505967,2,22:45:00.000,POINT (532871.7941399547 180294.1546824534)
2019010159254,2019,30,1,24/01/2019,5,3,6,-0.046194,51.521861,2,08:27:00.000,POINT (535648.8487070532 182136.2146809798)
2019010159260,2019,20,1,24/01/2019,5,3,6,-0.204798,51.488614,2,09:55:00.000,POINT (524736.6609807372 178157.1380017682)
2019010159267,2019,20,1,23/01/2019,4,3,6,-0.114854,51.479586,2,07:28:00.000,POINT (531006.7894228918 177310.1548575098)
2019010159292,2019,20,1,23/01/2019,4,3,1,-0.229218,51.468428,2,16:50:00.000,POINT (523095.6008340136 175871.0785160124)
2019010159317,2019,20,1,23/01/2019,4,3,6,-0.028032,51.57786,2,07:23:00.000,POINT (536740.8992529877 188397.2525516931)
2019010159341,2019,20,1,22/01/2019,3,3,6,-0.026553,51.468699,2,18:00:00.000,POINT (537170.7751216677 176261.0736157174)
2019010159385,2019,20,1,24/01/2019,5,3,6,-0.144564,51.448711,2,18:25:00.000,POINT (529030.7891246271 173824.0667395046)
